analyst_rating,description,export_date,market_cap_bucket,market_capitalization,market_capitalization_currency,price,price_change_pct_1_day,price_currency,price_to_earnings_ratio,relative_volume_1_day,sector,source_file,symbol,volume_1_day
Buy,Inter & Co. Inc.,2025-12-29,large,3688887109.8828406,USD,8.39,-0.7100591715976181,USD,17.284713638236507,0.8162180998579125,Finance,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,INTR,1936117
Sell,PBF Energy Inc.,2025-12-29,large,3074592413.525048,USD,26.54,1.4913957934990465,USD,,0.6642919616133064,Energy minerals,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,PBF,1777950
Neutral,Healthcare Realty Trust Incorporated Class A,2025-12-29,large,5946041139.0,USD,16.94,0.1774098166765295,USD,,0.5264743915135888,Finance,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,HR,1750932
Strong buy,"VNET Group, Inc. Sponsored ADR",2025-12-29,large,2337834967.0,USD,8.64,-0.5753739930954999,USD,,0.4431121995025836,Technology services,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,VNET,1744561
Buy,HF Sinclair Corporation,2025-12-29,large,8457939671.121185,USD,45.98,0.2179598953792378,USD,22.12385122455853,0.6233247147370391,Energy minerals,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,DINO,1688434
Strong buy,Levi Strauss & Co,2025-12-29,large,8242595607.622455,USD,21.09,-0.0947418285172883,USD,18.201432640027612,0.950014977764696,Consumer non-durables,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,LEVI,1675460
Strong buy,"Brixmor Property Group, Inc.",2025-12-29,large,8050429927.0,USD,26.36,0.2281368821292727,USD,24.40966756181128,0.5753417955343935,Finance,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,BRX,1653376
Strong buy,Millrose Properties Inc Class A,2025-12-29,large,4685642102.0,USD,29.9,-1.6123724909509771,USD,22.89608698981545,0.7506046285665361,Finance,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,MRP,1496514
Neutral,Kilroy Realty Corporation,2025-12-29,large,4547700399.0,USD,37.88,-0.4990806409246065,USD,13.972188410608242,1.041278700732306,Finance,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,KRC,1488079
Strong buy,Super Group (SGHC) Limited,2025-12-29,large,6007148167.979865,USD,11.98,0.5033557046979908,USD,27.59097190234915,0.7788375036350359,Consumer services,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,SGHC,1476777
Buy,"Broadstone Net Lease, Inc.",2025-12-29,large,3311280594.0,USD,17.49,-0.057142857142866,USD,37.76722090261282,0.7453390298987396,Finance,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,BNL,1413003
Strong buy,"Mirion Technologies, Inc.",2025-12-29,large,6032854405.900632,USD,23.77,0.0842105263157876,USD,201.78268251273343,0.6532161101493679,Electronic technology,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,MIR,1374135
Buy,Cognex Corporation,2025-12-29,large,6112300864.042683,USD,36.47,-0.2188782489740035,USD,56.32432432432432,0.6466512224250113,Electronic technology,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,CGNX,1312682
Buy,CRISPR Therapeutics AG,2025-12-29,large,5143353688.045207,USD,53.97,-2.015250544662308,USD,,0.8284198493746713,Health technology,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,CRSP,1277169
Buy,"RLX Technology, Inc. Sponsored ADR Class A",2025-12-29,large,2778051394.0,USD,2.29,0.4385964912280803,USD,28.16728167281673,0.7281010785348417,Producer manufacturing,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,RLX,1267260
Strong buy,Kanzhun Ltd. Sponsored ADR,2025-12-29,large,9969174604.50048,USD,20.79,-1.2351543942992946,USD,27.572944297082227,0.4222090142213396,Commercial services,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,BZ,1082303
Buy,TransAlta Corporation,2025-12-29,large,3774024270.591743,USD,12.72,-0.9345794392523304,USD,,0.7766241236433956,Utilities,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,TAC,1066903
Neutral,A.O. Smith Corporation,2025-12-29,large,9479310613.591496,USD,68.08,0.4722550177095531,USD,18.382114699211577,0.978813598850768,Producer manufacturing,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,AOS,1059733
Buy,Qiagen N.V.,2025-12-29,large,9887949522.609655,USD,45.6,0.5069429138197135,USD,24.59944974915035,0.9085171668101388,Health technology,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,QGEN,1050432
Buy,Urban Edge Properties,2025-12-29,large,2435268528.0,USD,19.43,0.413436692506451,USD,22.16012773722628,1.0991136033135194,Finance,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,UE,1045749
Strong buy,Hesai Group Sponsored ADR,2025-12-29,large,3629564503.67616,USD,22.48,-0.1776198934280601,USD,51.66628361296254,0.5686999176346533,Producer manufacturing,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,HSAI,1036795
Buy,"Halozyme Therapeutics, Inc.",2025-12-29,large,8108313481.384492,USD,68.95,0.1161608828227069,USD,14.49321057720604,0.4988452621862594,Health technology,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,HALO,1015737
Neutral,Noble Corporation plc A,2025-12-29,large,4498539411.577745,USD,28.32,0.9985734664764664,USD,20.301075268817204,0.6265879259981127,Industrial services,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,NE,1013641
