Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
AAPL,Apple Inc.,273.76,USD,0.13167520117045123,23709057,0.4943111695028964,4045174180787.3076,USD,36.70049468448782,7.4593,USD,22.889998187779046,0.376737381126555,Electronic technology,Buy
TSLA,"Tesla, Inc.",459.64,USD,-3.2723752604221494,66055213,0.7610254407720569,1528679607424.4595,USD,307.12281170653483,1.4966,USD,-59.00175323252247,0,Consumer durables,Neutral
WMT,Walmart Inc.,112.53,USD,0.7069983891176,12977544,0.6331932192449954,896882874484.4543,USD,39.470361276745,2.851,USD,17.079380723584254,0.81662788616431,Retail trade,Strong buy
CSCO,"Cisco Systems, Inc.",77.79,USD,-0.47338792221083725,17941491,0.7593559480030166,307355654188.0099,USD,29.331473172203165,2.6521,USD,14.186687333161107,2.08546571136131,Electronic technology,Buy
IBM,International Business Machines Corporation,305.74,USD,0.21305188632863553,4664552,1.1953812388204141,285785926973.2031,USD,36.57002057317832,8.3604,USD,21.68192469471815,2.19935101117703,Technology services,Buy
CAT,"Caterpillar, Inc.",578.71,USD,-0.7358490566037674,2585755,0.9172121628322903,270824464906.75116,USD,29.69525304926546,19.4883,USD,-9.63163215150195,1.00171526586621,Producer manufacturing,Buy
MCD,McDonald's Corporation,308.53,USD,-0.6920303849620297,2148287,0.6690404880477933,219720978866.58615,USD,26.313410432231432,11.7252,USD,2.929377167186047,2.27887215140981,Consumer services,Buy
