Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
META,"Meta Platforms, Inc.",663.29,USD,-0.6381544453598968,7133807,0.41345455301847,1671840622236,USD,29.307358542253954,22.6322,USD,6.582212908238952,0.312834506776825,Technology services,Strong buy
BRK.A,Berkshire Hathaway Inc.,747000,USD,-0.5650672914925384,253,0.5485689505637468,1074764704875,USD,15.924417215893847,46909.095,USD,-36.832236460716395,0,Finance,Neutral
PM,Philip Morris International Inc,161.05,USD,-0.9776192818494683,3795267,0.5525269567599385,250696682515,USD,29.170968501512437,5.5209,USD,-12.423660792182863,3.42750698540826,Consumer non-durables,Buy
