Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
AAPL,Apple Inc.,273.4,USD,-0.14973887001936562,21521797,0.43800065723512577,4039854693992,USD,36.65223278323703,7.4593,USD,22.889998187779046,0.376737381126555,Electronic technology,Buy
BRK.A,Berkshire Hathaway Inc.,747000,USD,-0.5650672914925384,253,0.5485689505637468,1074764704875,USD,15.924417215893847,46909.095,USD,-36.832236460716395,0,Finance,Neutral
WMT,Walmart Inc.,111.74,USD,0.1164770181883303,9003791,0.41389740891679333,890586442681,USD,39.19326552086987,2.851,USD,17.079380723584254,0.81662788616431,Retail trade,Strong buy
IBM,International Business Machines Corporation,305.09,USD,0.17402153926975727,2814732,0.7224212342151972,285178349121,USD,36.492273096981,8.3604,USD,21.68192469471815,2.19935101117703,Technology services,Buy
CAT,"Caterpillar, Inc.",583,USD,-0.13019048924215276,954395,0.31795621842533955,272832097321,USD,29.915385128513005,19.4883,USD,-9.63163215150195,1.00171526586621,Producer manufacturing,Buy
MCD,McDonald's Corporation,310.68,USD,-0.8457536782306122,1308854,0.3671883913780608,221252110700,USD,26.496776174393617,11.7252,USD,2.929377167186047,2.27887215140981,Consumer services,Buy
AMAT,"Applied Materials, Inc.",261.9,USD,0.4294807884040205,1836042,0.2364035833946196,207671860980.99997,USD,30.193682268849436,8.674,USD,0.7503426487327648,0.679648720885834,Producer manufacturing,Buy
